#,partid,Description,qtystock,Identifier,qtyonorder,qtyreserved,supplier,manufacturer,manufactuerpart,notes,cost,costqty,datasheet,Package ID,Footprint,Format,ROHS,Storage,Supplier P/N,Qty at CM,Value on Hand,Value on Order
94,K002,"2-position switch, 1NO1NC",0,,0,1,Eoff,Idec,HW1S-2TF11,Switch Selector N.O./N.C. DPST 90° Knob 10A 440VAC 220VDC 745.7VA Screw 500000Cycles Panel Mount,15.34,1,http://datasheet.octopart.com/HW1S-2TF11-Idec-datasheet-41168655.pdf,,,,,,,0,,
95,K004,2P Switch Green LED 24VDC  22mm,0,,0,0,Galco,Idec,HW1F-2F20QD-G-24V,Switch Selector N.O. DPST 90° Knob 10A 440VAC 220VDC 745.7VA Screw 500000Cycles Panel Mount,32.06,1,http://datasheet.octopart.com/HW1F-2F20QD-G-24V-Idec-datasheet-10407442.pdf,,,,,,,0,,
96,K005,2P Switch Green LED 120VAC 22mm,0,,0,0,Galco,Idec,HW1F-2F20H2D-G,Switch Selector N.O. DPST 90° Knob 10A 440VAC 220VDC 745.7VA Screw 500000Cycles Panel Mount,47.66,1,http://datasheet.octopart.com/HW1F-2F20H2D-G-Idec-datasheet-8450967.pdf,,,,,,,0,,
97,K006,Switch 16mm Push Button Square Maintained Green LED 24 DPDT,0,,0,0,Galco,Idec,LB2L-A1T64G,"Switch, pushbtn; Sqr; 24V LED; 16mm mnt; Std bzl; DPDT; Sldr tabs; Green",19.59,1,http://datasheet.octopart.com/LB2L-A1T64G-Idec-datasheet-38231321.pdf,,,,,,,0,,
98,K007,Switch 22mm Push Button Square Maintained Green LED 24V 2NO,0,,0,6,Galco,Idec,HW2L-A1F20QD-G-24V,Switch Push Button N.O. DPST Flush Square Button 10A 440VAC 220VDC 745.7VA Maintained Contact Screw Panel Mount,26.59,1,http://datasheet.octopart.com/HW2L-A1F20QD-G-24V-Idec-datasheet-8450967.pdf,,,,,,,0,,
99,K008,Switch 16mm Push Button Square Maintained Red LED 24 DPDT,0,,0,0,Galco,Idec,LB2L-A1T64R,"Switch, pushbtn; Sqr; 24V LED; 16mm mnt; Std bzl; DPDT; Sldr tabs; Green",19.59,1,http://datasheet.octopart.com/LB2L-A1T64G-Idec-datasheet-38231321.pdf,,,,,,,0,,
100,K009,Switch 22mm Push Button Square Maintained Red LED 24V 2NO,0,,0,0,Galco,Idec,HW2L-A1F20QD-R-24V,Switch Push Button N.O. DPST Flush Square Button 10A 440VAC 220VDC 745.7VA Maintained Contact Screw Panel Mount,31.78,1,http://datasheet.octopart.com/HW2L-A1F20QD-G-24V-Idec-datasheet-8450967.pdf,,,,,,,0,,
101,K010,"Disconnect Switch, 3-P, 25A/600V, Non-Fusible, UL508 Listed, Open, Switch Only - Less Operating Mech",2,,0,2,Platt,ABB Control,OT25F3,,41.98,1,http://datasheet.octopart.com/OT25F3-ABB-Control-datasheet-10025760.pdf,,,,,,,0,83.96,
102,K015,Selector Handles Red/Yel N3r/12 Non-Def,1,,0,0,Platt,ABB Control,OHYS2AJ1,,16.32,1,,,,,,,,0,16.32,
103,K016,Selector Handles Black N3r/12 Non-Def,0,,0,2,Platt,ABB Control,OHBS2AJ1,,16.32,1,http://datasheet.octopart.com/OHBS2AJ1-ABB-Control-datasheet-12993780.pdf,,,,,,,0,,
